"leftItem","name","parentInterface","rightItem","uuid"
"955b267b-be24-49db-808b-b69aa9f59a57","1.2.4:1.2.6","","5cde85bf-c68d-4347-a484-722d5a0874dd","8ce96c88-12f9-450c-be46-8ce92e921ee0"
"98ec0213-d1e0-4736-860c-a0507f6bd5bd","1.2.5:3","","4d542102-619d-479e-8c3f-b562eb8ebaf7","8f66f49c-ce63-4958-835f-27913c5149b8"
"955b267b-be24-49db-808b-b69aa9f59a57","1.2.1:1.2.4","","d82ac11b-a061-445a-b244-cfc10abbff36","995798df-b7c1-4239-a93b-f9a5a2856db3"
"92d4aca0-736f-49fa-b6a6-920ee1e57228","1.2.2:1.2.7","","1147b873-7f37-473f-a19f-32516880c211","b68aadb9-b902-42ab-ab9a-d47857d1384c"
"d82ac11b-a061-445a-b244-cfc10abbff36","1.2.1:1.2.7","","1147b873-7f37-473f-a19f-32516880c211","cd1ae526-e7b8-4979-ab1a-f8862ca7648b"
"cd07422c-1c61-4e4e-acb6-73337283050c","1.2.7:1.2.8","","1147b873-7f37-473f-a19f-32516880c211","d194c4e1-5095-4190-8cf5-c279dabbb7b1"
"4d542102-619d-479e-8c3f-b562eb8ebaf7","1.2.5:6","","66e0291c-5cd4-4587-bf43-948994a0c14b","d1bfbeb2-1ca2-4a58-8037-9906308bda46"
"d82ac11b-a061-445a-b244-cfc10abbff36","1.2.1:1.2.6","","5cde85bf-c68d-4347-a484-722d5a0874dd","d82a232d-31af-4bdf-a5a8-a9f0b0942f75"
"a41628cb-19ed-404f-a0f8-895d6b67bbf1","1.2.5:4","","4d542102-619d-479e-8c3f-b562eb8ebaf7","de7b00ee-6d0a-4c84-aa5a-f2c70d1232a1"
"92d4aca0-736f-49fa-b6a6-920ee1e57228","1.2.2:1.2.5","","4d542102-619d-479e-8c3f-b562eb8ebaf7","ef8159d9-b387-4882-8850-125fa3df174d"
"0e9f8ef5-cf00-48b3-8c81-e51afa3336ea","1.2.6:5","","5cde85bf-c68d-4347-a484-722d5a0874dd","fc2870cb-9ab1-44ea-aad0-2c5f86fbdaf1"
"cd07422c-1c61-4e4e-acb6-73337283050c","1.2.1:1.2.8","","d82ac11b-a061-445a-b244-cfc10abbff36","0a715e83-9a98-4274-8bdb-fb35e9295622"
